Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
72,Exit short,2025-05-01 02:05,TP 3:1,3248.6,1,3242,-70,-0.22,0,0.00,-68,-0.21,2563,0.26
72,Entry short,2025-05-01 02:05,Short,3242,1,3242,-70,-0.22,0,0.00,-68,-0.21,2563,0.26
73,Exit short,2025-05-01 21:10,Short Exit,3242.4,1,3242,-8,-0.02,323,1.00,-177,-0.55,2557,0.26
73,Entry short,2025-05-01 02:05,Short,3242,1,3242,-8,-0.02,323,1.00,-177,-0.55,2557,0.26
74,Exit long,2025-05-02 13:55,Long Exit,3257.5,2,6536,-218,-0.33,62,0.09,-214,-0.33,2339,0.23
74,Entry long,2025-05-02 13:35,Long,3268,2,6536,-218,-0.33,62,0.09,-214,-0.33,2339,0.23
75,Exit long,2025-05-06 17:45,Long Exit,3418.9,2,6717.8,1192,1.77,1196,1.78,-78,-0.12,3531,0.35
75,Entry long,2025-05-06 02:00,Long,3358.9,2,6717.8,1192,1.77,1196,1.78,-78,-0.12,3531,0.35
76,Exit long,2025-05-06 23:15,EOD Close 21:00 UTC,3414,2,6842.6,-154,-0.23,52,0.08,-256,-0.37,3377,0.34
76,Entry long,2025-05-06 23:10,Long,3421.3,2,6842.6,-154,-0.23,52,0.08,-256,-0.37,3377,0.34
77,Exit short,2025-05-06 23:30,EOD Close 21:00 UTC,3403.4,2,6794,-136,-0.20,80,0.12,-174,-0.26,3241,0.32
77,Entry short,2025-05-06 23:25,Short,3397,2,6794,-136,-0.20,80,0.12,-174,-0.26,3241,0.32
78,Exit short,2025-05-07 01:55,Short Exit,3386.9,2,6745.4,-292,-0.43,106,0.16,-288,-0.43,2949,0.29
78,Entry short,2025-05-07 01:40,Short,3372.7,2,6745.4,-292,-0.43,106,0.16,-288,-0.43,2949,0.29
79,Exit short,2025-05-07 03:20,Short Exit,3392.9,2,6771.4,-152,-0.22,358,0.53,-148,-0.22,2797,0.28
79,Entry short,2025-05-07 02:00,Short,3385.7,2,6771.4,-152,-0.22,358,0.53,-148,-0.22,2797,0.28
80,Exit long,2025-05-07 23:00,EOD Close 21:00 UTC,3379.6,2,6804.8,-464,-0.68,80,0.12,-632,-0.93,2333,0.23
80,Entry long,2025-05-07 03:20,Long,3402.4,2,6804.8,-464,-0.68,80,0.12,-632,-0.93,2333,0.23
81,Exit long,2025-05-08 06:10,Long Exit,3385.4,2,6801,-310,-0.46,426,0.63,-306,-0.45,2023,0.20
81,Entry long,2025-05-08 02:00,Long,3400.5,2,6801,-310,-0.46,426,0.63,-306,-0.45,2023,0.20
82,Exit short,2025-05-08 07:45,Short Exit,3328.4,2,6731.8,742,1.10,746,1.11,-114,-0.17,2765,0.28
82,Entry short,2025-05-08 06:50,Short,3365.9,2,6731.8,742,1.10,746,1.11,-114,-0.17,2765,0.28
83,Exit short,2025-05-08 20:35,Short Exit,3305.7,2,6596,-162,-0.25,62,0.09,-158,-0.24,2603,0.26
83,Entry short,2025-05-08 20:20,Short,3298,2,6596,-162,-0.25,62,0.09,-158,-0.24,2603,0.26
84,Exit short,2025-05-09 03:10,Short Exit,3281.9,2,6592,274,0.42,278,0.42,-76,-0.12,2877,0.29
84,Entry short,2025-05-09 02:35,Short,3296,2,6592,274,0.42,278,0.42,-76,-0.12,2877,0.29
85,Exit short,2025-05-09 03:10,TP 3:1,3281.7,1,3279.1,-30,-0.09,0,0.00,-28,-0.09,2845,0.28
85,Entry short,2025-05-09 03:10,Short,3279.1,1,3279.1,-30,-0.09,0,0.00,-28,-0.09,2845,0.28
86,Exit short,2025-05-09 03:35,Short Exit,3296,1,3279.1,-173,-0.53,0,0.00,-171,-0.52,2674,0.27
86,Entry short,2025-05-09 03:10,Short,3279.1,1,3279.1,-173,-0.53,0,0.00,-171,-0.52,2674,0.27
87,Exit long,2025-05-09 12:35,Long Exit,3330.7,2,6677.2,-166,-0.25,20,0.03,-198,-0.30,2508,0.25
87,Entry long,2025-05-09 12:25,Long,3338.6,2,6677.2,-166,-0.25,20,0.03,-198,-0.30,2508,0.25
88,Exit short,2025-05-11 23:05,EOD Close 21:00 UTC,3283.7,2,6559.4,-88,-0.13,14,0.02,-118,-0.18,2420,0.24
88,Entry short,2025-05-11 23:00,Short,3279.7,2,6559.4,-88,-0.13,14,0.02,-118,-0.18,2420,0.24
89,Exit short,2025-05-11 23:15,EOD Close 21:00 UTC,3277.5,2,6566.6,108,0.16,142,0.22,-70,-0.11,2528,0.25
89,Entry short,2025-05-11 23:10,Short,3283.3,2,6566.6,108,0.16,142,0.22,-70,-0.11,2528,0.25
90,Exit short,2025-05-12 04:30,Short Exit,3286.6,2,6550.4,-236,-0.36,254,0.39,-232,-0.35,2292,0.23
90,Entry short,2025-05-12 02:00,Short,3275.2,2,6550.4,-236,-0.36,254,0.39,-232,-0.35,2292,0.23
